Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:38tpcZDofjtDNunMm5w1EU,If I Could Change Your Mind,HAIM,Days Are Gone (Deluxe Edition),2013-01-01,53,"indietronica,metropopolis",0.671,0.852,2.0,-5.557,0.0,0.0425,0.0184,9.91e-05,0.0841,0.737,125.043,4.0
spotify:track:60lJebAiPbIrnLeGev6kHX,If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,2003,0,"neo soul,pop,r&b",0.589,0.449,7.0,-9.153,1.0,0.105,0.607,2.18e-05,0.1,0.159,118.351,3.0
spotify:track:1dbt3sOwRmUOLfQZSpSz9O,Truly,Lionel Richie,Lionel Richie (Expanded Edition),1982,0,soft rock,0.366,0.238,1.0,-13.853,1.0,0.0381,0.646,1e-05,0.0876,0.131,68.362,4.0
spotify:track:50PeqUz1BjMw9ayNTk5O4d,I've Been Thinking About You,Londonbeat,Best! The Singles 16 Tracks,1995-11-20,69,"eurodance,hip house",0.678,0.659,11.0,-12.695,0.0,0.0396,0.0236,0.00192,0.0744,0.899,113.542,4.0
spotify:track:111P8I22TrLyxQm7Jcwdoy,Kung Fu Fighting,"Bus Stop, Carl Douglas",The Soul of the Kung Fu Fighter,1972-02-13,0,,0.737,0.855,11.0,-10.319,0.0,0.0646,0.00475,1.67e-05,0.163,0.583,116.023,4.0
spotify:track:6QAOkWnUrLLoDfmndW9Z3P,Love Don't Cost a Thing,Jennifer Lopez,J.Lo,2001-01-19,0,"dance pop,pop,urban contemporary",0.777,0.834,4.0,-5.129,0.0,0.0843,0.00275,1.3e-06,0.361,0.66,97.527,4.0
spotify:track:0JhKJg5ejeQ8jq89UQtnw8,Levels - Radio Edit,Avicii,Levels,2011-10-28,0,"edm,pop,pop dance",0.62,0.881,1.0,-5.851,0.0,0.0372,0.0585,0.714,0.311,0.415,126.035,4.0
spotify:track:62FuZGFoly0h2Cb95mxNym,All Good Things (Come To An End) - Radio Edit,Nelly Furtado,All Good Things (Come To An End) [International Version],2006-01-01,0,"canadian latin,canadian pop,dance pop,pop",0.666,0.634,9.0,-7.861,0.0,0.0346,,3.46e-05,0.117,0.356,100.884,4.0
spotify:track:22PMfvdz35fFKYnJyMn077,Marry You,Bruno Mars,Doo-Wops & Hooligans,2010-10-05,79,"dance pop,pop",0.621,0.82,10.0,-4.865,1.0,0.0367,0.332,0.0,0.104,0.452,144.905,4.0
spotify:track:4HaKJH8swiAIRuiU2mgr6f,Over Now (with The Weeknd),"Calvin Harris, The Weeknd",Over Now (with The Weeknd),2020-08-28,41,"dance pop,edm,electro house,house,pop,progressive house,uk dance,canadian contemporary r&b,canadian pop,pop",0.6,0.89,4.0,-4.106,0.0,0.0427,0.0791,0.00222,0.3,0.668,177.995,4.0
